"SATCO PRODUCTS - NUVO LIGHTING - PRICE FILE AS OF NOVEMBER 3, 2025",,,,,,,,,
ALL ITEMS QUOTED ARE SUBJECT TO A PRICE CHANGE SHOULD IMPORT TARIFFS INCREASE.,,,,,,,,,
ITEM,DESCRIPTION,INN PK,CASE PK,EA $,CASE$,MOQ,Each UPC Code,IMAP$,ITEM-EDI SKU
A3620,15 Watt BA9 1/2 Incandescent; Clear; 2500 Average rated hours; 114 Lumens; Candelabra base; 130 Volt,,500,$0.50,$0.45,,045923036200,No IMAP,A3620
A3631,25 Watt B11 Incandescent; Clear; 2500 Average rated hours; 210 Lumens; Medium base; 130 Volt,25,500,$0.55,$0.50,,045923036316,No IMAP,A3631
A3631-TF,25 Watt B11 Incandescent; Clear; 2500 Average rated hours; 210 Lumens; Medium base; 130 Volt; Shatter Proof,25,500,$4.80,$4.80,,None,No IMAP,A3631/TF
A3634,25 Watt B11 Incandescent; Frost; 2500 Average rated hours; 200 Lumens; Medium base; 130 Volt,25,500,$0.55,$0.50,,045923036347,No IMAP,A3634
A3640,25 Watt G25 Incandescent; Gloss White; 3000 Average rated hours; 160 Lumens; Medium base; 130 Volt,6,72,$1.02,$0.90,,045923036408,No IMAP,A3640
A3644,40 Watt G25 Incandescent; Clear; 2500 Average rated hours; 300 Lumens; Medium base; 220 Volt,6,72,$1.20,$1.05,,045923036446,No IMAP,A3644
A3647,25 Watt G25 Incandescent; Clear; 3000 Average rated hours; 180 Lumens; Medium base; 130 Volt,6,72,$0.97,$0.85,,045923036477,No IMAP,A3647
A3664,25 Watt CA10 Incandescent; Clear; 2500 Average rated hours; 210 Lumens; Medium base; 130 Volt,25,500,$0.44,$0.38,,045923036644,No IMAP,A3664
A3667,25 Watt CA10 Incandescent; Frost; 2500 Average rated hours; 200 Lumens; Medium base; 130 Volt,25,500,$0.49,$0.44,,045923036675,No IMAP,A3667
A3673,15 Watt CA8 Incandescent; Clear; 2500 Average rated hours; 95 Lumens; Candelabra base; 130 Volt,25,500,$0.55,$0.50,,045923036736,No IMAP,A3673
A3674,25 Watt CA8 Incandescent; Clear; 2500 Average rated hours; 210 Lumens; Candelabra base; 130 Volt,25,500,$0.47,$0.42,,045923036743,No IMAP,A3674
A3677,15 Watt CA8 Incandescent; Frost; 2500 Average rated hours; 90 Lumens; Candelabra base; 130 Volt,25,500,$0.55,$0.50,,045923036774,No IMAP,A3677
A3678,25 Watt CA8 Incandescent; Frost; 2500 Average rated hours; 200 Lumens; Candelabra base; 130 Volt,25,500,$0.49,$0.43,,045923036781,No IMAP,A3678
